node_id,grau,clustering,closeness,betweenness,eigenvector,page_rank
F_331,25,0.30666666666666664,0.14095317293537257,0.0008038418195202596,0.000946888711761086,8.539484290746911e-05
F_332,22,0.3333333333333333,0.13811747087453477,0.0011610054722693804,0.0004757035272224925,7.541909344502927e-05
F_333,23,0.33201581027667987,0.1416327913279133,0.003545530082647779,0.0005783977549287701,8.233010332991622e-05
F_334,24,0.2971014492753623,0.14141243320029764,0.0014028846638774945,0.0005585094017341148,8.475529840147326e-05
F_335,21,0.3761904761904762,0.13858443452512484,0.0009802717596188173,0.0004352375216214017,7.14226313069008e-05
F_336,21,0.38095238095238093,0.13612980247449533,0.00020735219452087798,0.00031756012076686666,7.831483836788915e-05
F_337,20,0.38421052631578945,0.1346624581293481,0.00044343365871823894,0.0001684142420763464,7.244177873389526e-05
F_338,24,0.3188405797101449,0.13500161446561187,0.0009428171427155489,0.00014225958296105215,8.259868778725594e-05
F_339,23,0.30434782608695654,0.1345728815741476,0.0005545756525995972,6.463791009738545e-05,8.08372790838655e-05
F_340,25,0.31,0.132438653545635,0.00036702043655030916,4.836618913830335e-05,9.224156946687804e-05
F_341,25,0.32666666666666666,0.13215956505247187,0.00020523947296149803,4.939745203991971e-05,9.52812321363117e-05
F_342,25,0.33,0.1335640506868278,0.0009364357497218332,3.6498705728758054e-05,9.59755120626857e-05
F_343,23,0.36363636363636365,0.1387822392369909,0.005732503443884555,3.764001085719099e-05,8.978248396356839e-05
F_344,24,0.31521739130434784,0.13621258850614656,0.0005851963583866878,5.3760427206141793e-05,8.882578758178018e-05
F_345,25,0.30333333333333334,0.13502196004133654,0.0010117977317655271,5.668298145627103e-05,8.265577666666132e-05
F_346,22,0.35064935064935066,0.13240929388043787,0.0005518034751993134,4.7211528258600165e-05,7.403853330317596e-05
F_347,22,0.3593073593073593,0.12790496099525825,0.00047246617595569397,2.54768258012344e-05,8.108415006879947e-05
F_348,22,0.36363636363636365,0.12616173808086903,0.0002420467972732296,1.8472462532582834e-05,7.865918182728244e-05
F_349,26,0.2953846153846154,0.12315290282673369,0.0004919765248807406,1.4520002522416549e-05,9.320468124717732e-05
F_350,26,0.2953846153846154,0.12219191427179737,0.00042150479786488214,1.1391507800669803e-05,9.1235711207713e-05
F_351,20,0.4,0.1214042355491889,0.00015925910662117996,8.083953107514967e-06,7.450306034016045e-05
F_352,20,0.3736842105263158,0.12192822147911968,0.0012851729879245215,4.840118435117149e-06,7.552732415612415e-05
F_353,21,0.3523809523809524,0.12601850642500478,0.002507163045554316,6.545381293216136e-06,7.433694217566495e-05
F_354,19,0.4152046783625731,0.12597294338599363,0.0017893748945612305,6.9326303823829874e-06,7.236228006149187e-05
F_355,20,0.3631578947368421,0.1258528656285118,0.0012152733884339048,7.046335410347038e-06,7.35929375726735e-05
F_356,21,0.36666666666666664,0.12464969292230636,0.00017414786437341143,9.54750643474891e-06,7.583967134084239e-05
F_357,22,0.3333333333333333,0.12335031371083531,0.0003589566099792489,9.321669290650815e-06,8.557096438370509e-05
F_358,22,0.3203463203463203,0.12924399014930602,0.000836544553602711,1.9252071219806296e-05,8.391824178795705e-05
F_359,20,0.3526315789473684,0.12968764539843047,0.0011380173435291208,1.0631079125034335e-05,7.762168728097201e-05
F_360,23,0.3359683794466403,0.13045241809672387,0.0001668927814889052,2.938384242916639e-05,8.027761889357123e-05
F_361,21,0.36666666666666664,0.12915615507388148,0.00015049924145949794,2.1957984694670004e-05,7.551493482467491e-05
F_362,22,0.3593073593073593,0.13036970824541894,0.00021307948767524141,2.7124472795540216e-05,8.06924220932495e-05
F_363,19,0.4093567251461988,0.12814932875620672,0.00015764569796882297,1.9011480163155867e-05,7.112900580316051e-05
F_364,21,0.35714285714285715,0.12790496099525825,0.00017298391805290467,2.443321771841293e-05,7.646490634308524e-05
F_365,23,0.308300395256917,0.13478256197547844,0.0006439667613691863,5.908835915432196e-05,8.265724877271459e-05
F_366,23,0.308300395256917,0.1344430629394615,0.0008813936595926005,5.009530266514676e-05,8.350996349144594e-05
F_367,22,0.341991341991342,0.13903452862605997,0.0015527395287445746,0.00012596166493242852,7.857143158726448e-05
F_368,23,0.33992094861660077,0.13709994753410285,0.001731540758234138,0.00011312301858855076,8.211483566075454e-05
F_369,23,0.3438735177865613,0.1323953176622088,0.0009712138459566043,5.5739764194603454e-05,8.770567498150687e-05
F_370,21,0.37142857142857144,0.13060727227289767,0.00023869569871140834,5.268115337445535e-05,7.928114974461818e-05
F_371,23,0.3241106719367589,0.1359203311588392,0.0008405344179127741,0.00012365841078510617,8.193350262742399e-05
F_372,24,0.31521739130434784,0.1315814319433517,0.001221371575146047,6.761884095726575e-05,8.646297061923257e-05
F_373,22,0.354978354978355,0.12700357428539605,0.0002818644283217285,3.943914930237872e-05,8.380577676864875e-05
F_374,21,0.38095238095238093,0.12661256132275453,0.00020604726153279846,4.8244894437206105e-05,8.262542599753403e-05
F_375,23,0.32806324110671936,0.12776295149428565,0.000293320898904097,5.971890473704781e-05,8.998121295848821e-05
F_376,19,0.42105263157894735,0.11995524272216058,6.439134884561243e-05,2.764004586427271e-05,7.242340278170147e-05
F_377,17,0.5,0.11862338988821426,4.172941367262462e-05,2.0549250822738822e-05,7.061072493979521e-05
F_378,20,0.38421052631578945,0.12364579123251482,0.00014347149437795616,3.521233423152313e-05,7.874886908042835e-05
F_379,22,0.329004329004329,0.12322549587872952,0.0003302724835028537,5.701431561755777e-05,8.776433521177538e-05
F_380,20,0.3631578947368421,0.12908437876277415,0.0005063414747827426,0.00014096876764775032,8.049235650698942e-05
F_381,17,0.47794117647058826,0.1250299043062201,0.00015386746438087747,0.00016966781702860306,6.830478466526958e-05
F_382,18,0.43137254901960786,0.1282174473043976,0.00019648019973869928,0.00015277734948478352,7.312472215206201e-05
F_383,20,0.39473684210526316,0.12882584938991826,7.817399032535952e-05,0.0003182553025643769,7.645271123886632e-05
F_384,21,0.3619047619047619,0.13358396523813582,0.0008078229223972554,0.00031964823691211776,7.87125264456307e-05
F_385,22,0.3463203463203463,0.13677553023281172,0.0005369951402346924,0.0006316896033295282,7.714710619910708e-05
F_386,22,0.354978354978355,0.13580113248811754,0.00027552363436013567,0.0004331565875854563,7.991567217687016e-05
F_387,23,0.3359683794466403,0.13634881294025566,0.0004432869565826865,0.00040945737244762933,8.323437794815754e-05
F_388,24,0.32971014492753625,0.13711943153867176,0.0002548339647932488,0.0007180704409522825,8.382437514719624e-05
F_389,21,0.38571428571428573,0.13274701549403098,9.66621825179481e-05,0.00046074990418603793,7.780361547125893e-05
F_390,26,0.28923076923076924,0.1387331187576733,0.0011523734769225524,0.000890961279853914,8.914824292415323e-05
F_391,22,0.341991341991342,0.1335441420723138,0.0006516033779830356,0.0006286608767673825,7.790955605977963e-05
F_392,22,0.354978354978355,0.1365046198047602,0.0004720556130858889,0.0007597829579273399,7.665340020751796e-05
F_393,20,0.4052631578947368,0.12854990622405787,0.00012762732566078228,0.0005214072106299697,7.37870573494343e-05
F_394,23,0.32806324110671936,0.13034532209624958,0.0003410915860954611,0.0006292855806046791,8.328238038911998e-05
F_395,20,0.3894736842105263,0.12267592547312826,7.283774419028127e-05,0.0004595947973586154,7.762453939198983e-05
F_396,17,0.49264705882352944,0.12169517507689023,1.9748515334236216e-05,0.000290599714850711,6.882084096652388e-05
F_397,18,0.45098039215686275,0.11948331539289558,2.6106955901433272e-05,0.0004308808374834472,7.303828099700972e-05
F_398,21,0.3476190476190476,0.1260679035921764,0.00031633166997411714,0.0007523927905353444,8.136264226422666e-05
F_399,21,0.3523809523809524,0.12971849339152378,0.00016384238648618752,0.0005124671559477618,7.960282160912149e-05
F_400,21,0.37142857142857144,0.12436173271596981,7.861744430621685e-05,0.0007729789334788384,8.353737034332541e-05
F_401,22,0.35064935064935066,0.12845906474672783,0.00018112058898672064,0.0012165504685742268,8.366248782724228e-05
F_402,20,0.39473684210526316,0.1265665677786523,7.662621746742472e-05,0.0015693407628335385,7.399106779457212e-05
F_403,23,0.3438735177865613,0.13133618839198768,0.0005853396898672639,0.003163263700734131,7.943089934307971e-05
F_404,21,0.38571428571428573,0.12917344647896026,0.00020265512277034575,0.003473994357388292,7.215893468661092e-05
F_405,24,0.3115942028985507,0.12720579286844347,0.0005656527461674132,0.006299378952330997,8.202405599947766e-05
F_406,22,0.35064935064935066,0.1244160095223925,0.00032158800701392187,0.005678448144893165,7.810223648288675e-05
F_407,21,0.35714285714285715,0.12081836308119094,9.66070109558969e-05,0.004236494951233657,7.49928656177059e-05
F_408,24,0.2971014492753623,0.12259199530860578,0.0010275865547951341,0.0069370563220843475,8.35744414500502e-05
F_409,22,0.3203463203463203,0.11986697374833956,0.00034681380407034824,0.005850706477072153,7.733126223680902e-05
F_410,19,0.391812865497076,0.11725717490885294,0.0003748994521420002,0.004734478354620847,6.871610771584557e-05
F_411,24,0.286231884057971,0.11500165034657278,0.0006435498350868133,0.012847560022606255,8.125249938239676e-05
F_412,20,0.3684210526315789,0.10836191479987214,6.267845844558528e-05,0.0074529249157375115,7.268544963413183e-05
F_413,21,0.37142857142857144,0.1065385791458567,0.000134206018182967,0.011542252441123568,7.139510578722049e-05
F_414,23,0.36363636363636365,0.10565462402183344,0.00010678923152683703,0.01289252219565697,8.245684751893e-05
F_415,25,0.32,0.10400842482337723,0.00021674300826434072,0.018008388702777437,8.902774865242341e-05
F_416,25,0.3233333333333333,0.1041734147253021,0.00019983590675719,0.017127955319544957,9.090259356363346e-05
F_417,24,0.32608695652173914,0.10453632476851658,0.00017844987347781917,0.01866131515289157,8.55757052705767e-05
F_418,22,0.35064935064935066,0.1048079815501855,0.0002524283716233545,0.0158240337684678,7.721587060113965e-05
F_419,25,0.31333333333333335,0.10570092276576919,0.00042299573251545586,0.02336113886184856,8.133186425704912e-05
F_420,22,0.354978354978355,0.09830707735715966,0.00034007484822999763,0.015145185747697893,7.880019570710438e-05
F_421,19,0.42105263157894735,0.09720618436858217,0.0001238731934855381,0.010377773191816377,6.890667515833382e-05
F_422,18,0.4444444444444444,0.09207425840692374,5.3316547146528045e-05,0.009142118806686111,6.785328875744823e-05
F_423,21,0.3619047619047619,0.09318652907482114,0.00035076571969379377,0.014429487653219485,7.720787231990501e-05
F_424,20,0.4,0.08695320623916811,5.483728997479582e-05,0.011288326880989116,7.267194904845912e-05
F_425,21,0.38095238095238093,0.0861949298717006,0.00028651667386504943,0.007969374668034884,7.825795645480794e-05
F_426,24,0.32971014492753625,0.08592037483559842,0.0001466152810190198,0.009625474673926465,8.171816415024219e-05
F_427,27,0.2962962962962963,0.08266222040622652,0.0001611747999090828,0.008218166974940638,9.681485609902611e-05
F_428,25,0.31666666666666665,0.08362334493379735,0.0001710269205713293,0.00807144208888818,8.805857431234282e-05
F_429,25,0.31333333333333335,0.08317915050233761,0.0003691117001509981,0.007676308244104226,9.128026634074e-05
F_430,21,0.37142857142857144,0.08284457478005865,0.00047077124959185216,0.0042958954767685405,8.096353505416043e-05
F_431,20,0.3894736842105263,0.07781934595268673,0.00013189038703544873,0.0017261346235008532,8.260253022006889e-05
F_432,18,0.45751633986928103,0.07687451735085375,5.712313955446802e-05,0.0010371869795869433,7.898689737123566e-05
F_433,15,0.580952380952381,0.07247398436461758,1.8632858503001338e-05,0.0003349506197000593,7.123271125189854e-05
F_437,18,0.43137254901960786,0.07740920171567871,0.00010919650408281438,0.0009234793785319013,7.719802801929159e-05
F_438,18,0.45098039215686275,0.07354872757124428,1.6550942763224437e-05,0.0009647901414841179,7.689258272043688e-05
F_439,23,0.3201581027667984,0.07870413944995576,0.0001309949093055415,0.0031470900709493085,9.28522648378994e-05
F_440,20,0.39473684210526316,0.07731853906611189,4.570585898339496e-05,0.0022298202163650127,8.024284858342112e-05
F_441,20,0.39473684210526316,0.07787007375400432,2.3219597084253414e-05,0.0033444978131549515,7.677329647472688e-05
F_442,22,0.354978354978355,0.08000739923328634,6.456299956220328e-05,0.003679130467927751,8.533562968649611e-05
F_443,21,0.3904761904761905,0.08152587209869161,5.5287217092742025e-05,0.003444354972690379,7.715705050491962e-05
F_444,17,0.49264705882352944,0.08119602791335984,3.0054811852935312e-05,0.0015151380492003815,6.701619544023372e-05
F_445,19,0.42105263157894735,0.08313284154852564,7.525491994080369e-05,0.0019338696219469733,7.529086108117134e-05
F_446,21,0.38095238095238093,0.08567154800284138,0.00012340715803931324,0.0034058319984210453,7.829562270177766e-05
F_447,24,0.3188405797101449,0.08776115643497852,0.0006042940927874145,0.005149184557805715,8.728670404894418e-05
F_448,21,0.38095238095238093,0.08200290275761973,2.3515802447998296e-05,0.00461446104290297,7.676123090218201e-05
F_449,20,0.4,0.08493996708855617,6.251407794488573e-05,0.005255681100947513,7.35564346334447e-05
F_450,23,0.3438735177865613,0.08845120480653282,0.00024131485332569324,0.009467770817923236,8.089948018788931e-05
F_451,22,0.3593073593073593,0.09168256474354758,0.00025846425594700667,0.012741135477287238,7.941601173372322e-05
F_452,24,0.3333333333333333,0.09299928821401032,0.000375146783422596,0.021304333923217008,8.364971596087803e-05
F_453,25,0.31666666666666665,0.09402830669585295,0.00018590318145951062,0.030831524259390945,8.411080059756945e-05
F_454,24,0.32971014492753625,0.0938861360200003,0.0001518395375548592,0.03238526672171629,8.110876608241933e-05
F_455,26,0.3046153846153846,0.09683695291329221,0.00025464891466827754,0.04032260957581582,8.463727775735426e-05
F_456,25,0.32666666666666666,0.10049272923927413,0.00022155965199308143,0.042559142636591746,7.93972605488248e-05
F_457,23,0.308300395256917,0.09951286852210339,0.00022737889652653045,0.025138915721971522,7.581470363943551e-05
F_458,21,0.3619047619047619,0.09746678063563602,9.099304967996888e-05,0.013661403951316235,7.469760774714296e-05
F_459,21,0.37142857142857144,0.09956105188795314,5.521461809498107e-05,0.012207938949276055,7.498261090762721e-05
F_460,22,0.38095238095238093,0.09912985750527539,3.245805669109766e-05,0.012590990097596002,7.967310648279477e-05
F_461,24,0.34782608695652173,0.10609520909460009,0.00014325166713257268,0.014705277279981584,7.986919319799836e-05
F_462,25,0.32,0.10650691619893518,0.0001237204043309202,0.015697295467821226,8.475310714243801e-05
F_463,25,0.2966666666666667,0.11490262179146589,0.0005004484443369352,0.014441451906669915,8.231545699018074e-05
F_464,20,0.3894736842105263,0.11202207753931892,9.112996790042267e-05,0.005302635982937524,7.30200402655554e-05
F_465,21,0.3761904761904762,0.11448207880397579,5.301053441011724e-05,0.0046023140845818395,7.572418975310962e-05
F_466,24,0.30434782608695654,0.1182777447735438,0.0004290951837743945,0.007765974305278127,8.555603112852264e-05
F_467,21,0.35714285714285715,0.11054120508685192,9.791430731369887e-05,0.005458929216984467,7.741152795285355e-05
F_468,21,0.38095238095238093,0.1129826963438032,4.054827711699203e-05,0.003439028725575193,7.92521314036086e-05
F_469,21,0.37142857142857144,0.1160948158569432,6.810363256999161e-05,0.003169878869983194,7.850378782922485e-05
F_470,21,0.3761904761904762,0.11471346783486674,6.1089934675851e-05,0.0028424438414379302,7.778872994256732e-05
F_471,23,0.33201581027667987,0.11496370435547734,9.149048006417509e-05,0.003624887758242576,8.220325890376752e-05
F_472,20,0.39473684210526316,0.11957557962172057,0.0001572164109652396,0.002107500026426724,7.343065374318234e-05
F_473,24,0.322463768115942,0.12231703154712566,0.0003751727676869889,0.002415346889477875,8.738030586139331e-05
F_474,25,0.30333333333333334,0.12341463894601162,0.0006164799562927231,0.0029729094637413068,8.638627884511023e-05
F_475,23,0.3438735177865613,0.12290070352152697,0.0005136447823538633,0.0027318927325440845,8.174104279151103e-05
F_476,23,0.3241106719367589,0.12927729221635884,0.0016139997684683181,0.001546762649731222,7.965532858800425e-05
F_477,22,0.3593073593073593,0.12731683550214173,0.0011189460326508798,0.001468580206795734,8.284024839639385e-05
F_478,24,0.32608695652173914,0.12406282763941366,0.0017812346534729767,0.0022383167726434104,9.086367763618051e-05
F_479,19,0.4269005847953216,0.12123408820715052,0.00011572475502607743,0.0012061556928863626,7.1379387836001e-05
F_480,21,0.3619047619047619,0.12864879279574964,0.0008939027202412833,0.0008626393689300562,7.368227932821623e-05
F_481,22,0.3333333333333333,0.12485939257592801,0.0012089357791771106,0.0007200189796374856,8.783952805126147e-05
F_482,20,0.38421052631578945,0.12411930018999366,0.0008213738319632952,0.000389230443015855,8.101076671537612e-05
F_483,18,0.45098039215686275,0.11726594491501655,8.81290538826197e-05,0.000434606150159781,7.487949074733383e-05
